restaurant_name,location,price_for_2,din_rating,din_count,del_rating,del_count
The Farm,Semmancheri,1500,4.5,1055,None,Does not offer Delivery
Kipling Cafe,"Kipling, East Coast Road (ECR)",2400,4.2,2164,3.5,162
Radio Room,Somerset Greenways,2000,4.3,530,None,Not enough Delivery Reviews
Va Pho - Asian Canteen,Gopalapuram,1400,4.5,1040,3.9,145
27 Culinary Street,Mylapore,800,4.3,1646,3.9,67
Cream Stone,Alwarpet,350,4.5,1208,4,2552
Osteria By That Madras Place,Adyar,800,4.2,2591,4.3,1264
The Waterfall Restaurant,Vadapalani,800,4.2,1353,4.1,639
Punjab Grill,"Phoenix Market City, Velachery",2700,4.4,1907,4,353
Tuscana Pizzeria,Nungambakkam,1200,4.2,1322,4.1,1495
Sera - The Tapas Bar & Restaurant,Gopalapuram,1600,4.5,964,3.4,50
Mash Resto Cafe,Besant Nagar,800,4,1437,3.9,526
Bistro 1427,Mylapore,700,4.3,784,3.2,975
Kobe Sizzlers,"Phoenix Market City, Velachery",1100,4.4,2261,3.7,64
Mr. Papdi,Velachery,400,4,390,3.9,4129
Prems Graama Bhojanam,Adyar,500,4.9,1511,4.1,4621
Hoppipola,"The Spring Hotel, Nungambakkam",1400,4,1179,3.4,46
The Chocolate Heaven,Alwarpet,800,4.2,705,4,325
Smoke Hub Barbeque,Vadapalani,1500,4.3,1247,3.5,88
Joker's Kitchen,Alwarpet,800,4.4,1043,3.7,515
Moon Rakers Restaurant,Mahabalipuram,700,3.7,1368,None,Not enough Delivery Reviews
Faruuzi Multicuisine Restaurant,GST Road,1000,4.3,1104,4.1,19500
Jalpaan,Nungambakkam,1100,4.3,1475,4.2,377
Haagen Dazs,Nungambakkam,800,4.6,949,4.1,323
Bombay Halwa House,Kilpauk,500,4.2,563,3.9,1128
Vasco's - Hilton Chennai,"Hilton Chennai, Guindy",3400,4.6,549,None,Does not offer Delivery
US 101 - Be-A-Sport,"GLM Meridian Hotel, T. Nagar",1350,4.2,909,None,Does not offer Delivery
Cafe De Paris,Foodies Kitchen,900,4.4,912,None,Not enough Delivery Reviews
Sapthagiri Tiffin Centre,T. Nagar,150,4.3,1335,3.9,47200
Uttar Bhojan,Valasaravakkam,350,4.1,381,3.9,4972
Hamsa,Adyar,1800,4.6,825,4.4,241
Haven Sampoorna,Velachery,1300,4.2,837,3.9,547
The Royals Biryani,Perungudi,400,3.9,413,3.8,9449
The Cascade,Nungambakkam,1000,4.3,613,4.1,1886
Pakwan Chennai,T. Nagar,1200,4.3,838,4.2,304
Aasife & Brothers Biriyani Centre,Thuraipakkam,850,2.6,1197,4.1,11700
Smoke Hub Barbeque,Velachery,1500,4.3,867,None,Not enough Delivery Reviews
Sigree Global Grill,"The Spring Hotel, Nungambakkam",1200,4.3,847,4.2,215
Shyam's Bombay Halwa House,T. Nagar,600,4.5,798,3.9,63
Asia Kitchen by Mainland China,"The Spring Hotel, Nungambakkam",1800,4.5,872,4.1,882
Bhatinda Xpress,Thuraipakkam,1500,4.2,763,3.7,475
Waffles Thru The Day,Adyar,800,4.2,897,3.9,193
